age,gender,nationality,current_city,travel_style,budget_level,preferred_region,preferred_cuisine,travel_with,transport_preference,accommodation_type,budget_avg,is_group,travel_intensity,city
53,male,african,Tozeur,party,medium,coastal,african,solo,plane,hostel,150,0,high,Sousse
45,male,arab,Hammamet,nature,high,inland,mediterranean,couple,public,resort,388,0,medium,Tabarka
66,female,african,Sfax,luxury,high,south,american,couple,public,resort,267,0,high,Sfax
69,male,tunisian,Tunis,cultural,low,north,european,family,plane,hostel,50,1,medium,Sfax
33,female,other,Sfax,cultural,medium,desert,european,solo,plane,resort,102,0,medium,Douz
40,male,other,Sousse,relaxation,medium,north,tunisian,friends,plane,airbnb,143,1,low,Douz
68,male,african,Bizerte,adventure,high,south,indian,couple,public,resort,390,0,high,Sfax
23,male,european,Tunis,relaxation,medium,north,mediterranean,couple,car,hotel,121,0,low,Djerba
65,male,tunisian,Bizerte,nature,medium,coastal,middle_eastern,solo,car,hotel,103,0,medium,Bizerte
38,male,other,Djerba,nature,high,coastal,african,friends,plane,hotel,339,1,medium,Bizerte
36,female,other,Sousse,adventure,low,south,tunisian,couple,public,hotel,44,0,high,Sfax
41,female,tunisian,Hammamet,relaxation,medium,south,middle_eastern,solo,plane,resort,145,0,low,Gabes
62,female,other,Bizerte,luxury,low,south,european,friends,public,resort,84,1,high,Sfax
56,female,other,Sfax,party,low,south,indian,couple,plane,airbnb,65,0,high,Gabes
59,male,tunisian,Douz,relaxation,high,south,american,friends,plane,resort,267,1,low,Sfax
49,male,other,Djerba,luxury,medium,south,african,couple,plane,airbnb,120,0,high,Sfax
36,female,other,Kairouan,luxury,high,inland,middle_eastern,friends,public,hotel,334,1,high,Djerba
53,female,other,Djerba,relaxation,high,north,tunisian,couple,plane,hotel,311,0,low,Tozeur
55,male,other,Sfax,party,medium,south,indian,friends,public,resort,136,1,high,Sfax
32,female,tunisian,Tozeur,cultural,medium,south,middle_eastern,family,public,hostel,110,1,medium,Kairouan
25,male,other,Djerba,nature,low,desert,european,friends,public,airbnb,68,1,medium,Douz
37,male,tunisian,Tabarka,cultural,low,north,african,couple,plane,hostel,48,0,medium,Sfax
48,male,arab,Bizerte,cultural,low,north,tunisian,couple,plane,hostel,76,0,medium,Tunis
46,female,european,Tunis,adventure,medium,desert,tunisian,solo,public,hotel,115,0,high,Tozeur
20,female,african,Bizerte,party,medium,desert,american,family,car,resort,113,1,high,Tozeur
25,female,arab,Sousse,adventure,low,desert,middle_eastern,family,car,resort,59,1,high,Tozeur
50,male,arab,Gabes,party,high,north,asian,solo,plane,resort,319,0,high,Sousse
47,male,arab,Sousse,nature,medium,inland,tunisian,family,car,airbnb,163,1,medium,Bizerte
33,male,european,Hammamet,party,low,north,tunisian,family,public,resort,88,1,high,Hammamet
45,female,other,Kairouan,adventure,low,north,tunisian,friends,public,airbnb,75,1,high,Kairouan
49,female,other,Sfax,adventure,low,inland,mediterranean,friends,plane,airbnb,71,1,high,Sfax
20,male,other,Tabarka,relaxation,high,inland,indian,friends,plane,hostel,255,1,low,Bizerte
33,female,arab,Kairouan,relaxation,high,inland,american,friends,plane,hotel,393,1,low,Mahdia
55,male,european,Tunis,luxury,low,inland,indian,family,plane,hostel,54,1,high,Tozeur
22,female,other,Douz,cultural,low,south,american,solo,car,resort,89,0,medium,Tunis
33,female,tunisian,Bizerte,cultural,low,coastal,mediterranean,family,public,hostel,81,1,medium,Sfax
30,female,other,Sfax,luxury,high,inland,european,friends,plane,airbnb,306,1,high,Douz
42,male,arab,Mahdia,party,low,inland,european,friends,public,hostel,80,1,high,Bizerte
60,male,other,Hammamet,nature,low,inland,mediterranean,couple,public,airbnb,89,0,medium,Tabarka
45,female,tunisian,Douz,party,low,north,middle_eastern,couple,public,airbnb,84,0,high,Djerba
65,female,arab,Sfax,nature,medium,desert,african,couple,plane,hostel,160,0,medium,Douz
22,female,arab,Sfax,cultural,low,inland,asian,couple,public,hostel,48,0,medium,Tunis
34,female,tunisian,Hammamet,cultural,low,coastal,asian,family,car,resort,89,1,medium,Sfax
44,male,tunisian,Hammamet,adventure,low,desert,asian,friends,plane,airbnb,81,1,high,Douz
54,female,arab,Djerba,nature,low,south,middle_eastern,family,car,hostel,57,1,medium,Tabarka
53,female,african,Douz,nature,low,desert,tunisian,couple,public,hostel,55,0,medium,Douz
42,female,other,Tunis,nature,high,south,middle_eastern,solo,public,hostel,357,0,medium,Bizerte
19,male,european,Gabes,relaxation,high,coastal,indian,couple,public,airbnb,395,0,low,Sousse
51,male,african,Mahdia,relaxation,low,desert,middle_eastern,couple,plane,resort,55,0,low,Tozeur
53,male,other,Tunis,nature,high,coastal,middle_eastern,couple,plane,airbnb,229,0,medium,Tabarka
28,female,other,Sfax,nature,high,inland,tunisian,solo,public,hotel,353,0,medium,Tabarka
46,female,other,Tunis,party,medium,coastal,african,family,car,resort,117,1,high,Sousse
66,female,other,Kairouan,relaxation,medium,coastal,middle_eastern,family,plane,hotel,105,1,low,Hammamet
60,male,european,Bizerte,luxury,low,south,middle_eastern,family,plane,airbnb,74,1,high,Gabes
67,male,arab,Bizerte,adventure,high,coastal,tunisian,family,car,resort,395,1,high,Tabarka
40,male,european,Sousse,party,medium,inland,tunisian,friends,plane,resort,134,1,high,Gabes
46,female,other,Tabarka,cultural,low,desert,african,family,plane,hotel,52,1,medium,Douz
48,female,arab,Douz,luxury,high,desert,asian,friends,public,airbnb,223,1,high,Tozeur
38,male,arab,Djerba,luxury,medium,north,middle_eastern,solo,car,resort,101,0,high,Kairouan
39,female,tunisian,Sousse,nature,high,desert,american,friends,public,resort,241,1,medium,Tozeur
53,male,european,Mahdia,relaxation,low,desert,tunisian,family,car,hotel,56,1,low,Douz
28,female,european,Sfax,relaxation,high,coastal,indian,couple,public,hotel,318,0,low,Mahdia
35,male,african,Bizerte,party,high,desert,tunisian,solo,car,hotel,303,0,high,Douz
57,female,arab,Bizerte,luxury,low,north,african,friends,car,hostel,59,1,high,Tozeur
44,female,tunisian,Tozeur,luxury,low,coastal,tunisian,family,public,resort,83,1,high,Djerba
47,male,african,Mahdia,relaxation,low,south,european,friends,public,hostel,66,1,low,Gabes
45,male,european,Sfax,cultural,medium,north,middle_eastern,friends,public,hostel,108,1,medium,Tunis
58,female,tunisian,Douz,cultural,high,coastal,indian,friends,plane,airbnb,261,1,medium,Tunis
33,female,european,Sousse,party,high,north,european,family,public,airbnb,329,1,high,Sousse
65,male,arab,Djerba,nature,high,coastal,american,couple,car,airbnb,266,0,medium,Bizerte
21,female,arab,Mahdia,adventure,high,south,african,friends,car,hostel,238,1,high,Gabes
69,female,european,Bizerte,cultural,low,inland,tunisian,friends,car,airbnb,60,1,medium,Sfax
43,female,other,Tabarka,adventure,low,south,african,family,public,resort,87,1,high,Sfax
65,male,other,Bizerte,party,medium,desert,indian,family,plane,airbnb,133,1,high,Tozeur
25,female,european,Sfax,luxury,high,inland,middle_eastern,couple,car,airbnb,205,0,high,Kairouan
66,female,european,Djerba,nature,medium,coastal,american,couple,public,hostel,125,0,medium,Tabarka
